NASAParticipantId,NASA_Condition,NASA_Placement,NASA_LabelType,MentalDemand,TemporalDemand,PhysicalDemand,Performance,Effort,FrustrationLevel
18.0,PEEx,PostExposure,Explicit,15.0,4.0,2.0,8.0,11.0,12.0
18.0,PEIm,PostExposure,Implicit,7.0,4.0,5.0,15.0,7.0,5.0
18.0,PEM,PostExposure,Mix,17.0,12.0,10.0,13.0,13.0,12.0
18.0,Control,Control,Control,12.0,7.0,8.0,12.0,13.0,13.0
18.0,CCTEx,Concurrent,Explicit,5.0,2.0,8.0,15.0,7.0,7.0
18.0,CCTIm,Concurrent,Implicit,13.0,8.0,9.0,12.0,13.0,11.0
18.0,CCTM,Concurrent,Mix,13.0,7.0,7.0,10.0,11.0,10.0
19.0,PEIm,PostExposure,Implicit,17.0,5.0,1.0,10.0,2.0,3.0
19.0,PEM,PostExposure,Mix,18.0,2.0,1.0,16.0,2.0,3.0
19.0,Control,Control,Control,18.0,2.0,1.0,15.0,1.0,5.0
19.0,CCTEx,Concurrent,Explicit,16.0,2.0,1.0,16.0,2.0,3.0
19.0,CCTIm,Concurrent,Implicit,16.0,2.0,1.0,15.0,1.0,3.0
19.0,CCTM,Concurrent,Mix,18.0,2.0,1.0,15.0,2.0,2.0
19.0,PEEx,PostExposure,Explicit,17.0,1.0,1.0,18.0,2.0,2.0
2.0,CCTIm,Concurrent,Implicit,13.0,16.0,2.0,10.0,14.0,13.0
2.0,CCTM,Concurrent,Mix,13.0,13.0,2.0,5.0,13.0,14.0
2.0,PEEx,PostExposure,Explicit,12.0,10.0,2.0,10.0,13.0,12.0
2.0,PEIm,PostExposure,Implicit,12.0,10.0,2.0,8.0,12.0,14.0
2.0,PEM,PostExposure,Mix,13.0,10.0,2.0,6.0,14.0,15.0
2.0,Control,Control,Control,10.0,8.0,2.0,10.0,12.0,13.0
2.0,CCTEx,Concurrent,Explicit,10.0,8.0,2.0,12.0,12.0,12.0
20.0,PEM,PostExposure,Mix,18.0,5.0,8.0,9.0,12.0,4.0
20.0,Control,Control,Control,16.0,8.0,12.0,12.0,16.0,6.0
20.0,CCTEx,Concurrent,Explicit,12.0,6.0,13.0,15.0,13.0,6.0
